Gender,Age,Height_cm,Weight_kg,Fitness_Goal,Goal_Weight_kg,Has_No_Equipment,Has_Dumbbells,Has_Stationary_Bike,Has_Resistance_Band,Has_Yoga_Mat,Experience_Level,BMI
Male,34,168,86,Get Fit,66,1,0,1,1,1,Beginner,30.47
Female,26,158,98,Get Fit,59,0,1,0,1,0,Intermediate,39.26
Male,50,160,59,Build Muscle,47,0,1,0,1,1,Intermediate,23.05
Male,37,186,75,Lose Weight,83,0,1,1,0,1,Beginner,21.68
Male,30,182,62,Get Fit,62,0,0,0,1,0,Intermediate,18.72
Female,45,177,79,Get Fit,54,1,1,0,1,1,Beginner,25.22
Male,46,179,52,Lose Weight,51,0,0,0,1,0,Intermediate,16.23
Male,30,178,68,Lose Weight,54,0,1,0,0,1,Beginner,21.46
Male,52,166,84,Build Muscle,74,1,0,1,0,1,Beginner,30.48
Female,23,170,88,Build Muscle,75,1,1,0,1,0,Intermediate,30.45
Male,35,155,76,Build Muscle,71,1,0,1,1,1,Advanced,31.63
Male,22,169,64,Lose Weight,66,1,1,0,0,0,Intermediate,22.41
Male,42,181,46,Get Fit,52,1,0,0,0,1,Beginner,14.04
Male,19,163,58,Get Fit,57,0,1,1,0,1,Beginner,21.83
Female,27,180,62,Build Muscle,53,0,0,0,0,0,Advanced,19.14
Male,47,170,59,Lose Weight,70,0,1,0,1,1,Beginner,20.42
Female,22,156,70,Get Fit,54,1,1,0,0,1,Beginner,28.76
Female,50,158,64,Build Muscle,57,0,1,0,1,0,Beginner,25.64
Female,18,179,72,Get Fit,63,1,0,0,1,1,Beginner,22.47
Male,35,175,88,Get Fit,48,0,0,0,0,0,Beginner,28.73
Female,49,171,63,Lose Weight,65,0,0,1,0,1,Beginner,21.55
Male,28,167,49,Lose Weight,63,1,0,1,0,0,Beginner,17.57
Female,38,172,59,Get Fit,76,1,0,1,0,1,Advanced,19.94
Female,43,178,78,Build Muscle,56,0,1,0,1,0,Beginner,24.62
Female,42,184,80,Lose Weight,52,0,0,0,1,0,Beginner,23.63
Female,39,185,76,Get Fit,61,0,1,0,1,1,Intermediate,22.21
Female,44,173,89,Lose Weight,54,0,1,1,0,1,Intermediate,29.74
Female,30,168,67,Lose Weight,65,0,0,0,1,0,Beginner,23.74
Female,50,171,100,Lose Weight,46,1,1,1,0,1,Advanced,34.2
Female,51,175,82,Get Fit,58,1,0,0,1,0,Beginner,26.78
Male,58,175,32,Build Muscle,55,1,0,0,0,1,Advanced,10.45
