Gender,Age,Height_cm,Weight_kg,BMI,Fitness_Goal,Goal_Weight_kg,Has_No_Equipment,Has_Dumbbells,Has_Stationary_Bike,Has_Resistance_Band,Has_Yoga_Mat
Other,25,151,85,37.3,Lose Weight,79,1,0,0,0,0
Other,52,155,104,43.3,Lose Weight,101,0,1,0,0,0
Male,50,188,53,15.0,Get Fit,53,0,0,0,0,1
Female,32,178,85,26.8,Lose Weight,70,0,0,0,1,0
Female,35,159,77,30.5,Build Muscle,80,0,0,0,1,0
Male,40,172,83,28.1,Lose Weight,69,1,0,0,0,1
Female,23,185,87,25.4,Get Fit,87,0,1,1,0,1
Male,20,192,79,21.4,Build Muscle,82,1,0,0,0,0
Female,35,179,96,30.0,Lose Weight,88,0,1,1,0,0
Other,59,154,71,29.9,Get Fit,71,0,1,0,1,1
Female,35,190,78,21.6,Get Fit,78,1,1,0,0,0
Male,38,175,84,27.4,Lose Weight,78,0,1,1,0,1
Female,43,191,108,29.6,Lose Weight,101,0,1,0,0,0
Other,53,184,83,24.5,Get Fit,83,0,1,0,1,1
Male,26,182,113,34.1,Lose Weight,98,1,0,0,0,0
Male,58,160,104,40.6,Get Fit,104,0,0,0,1,0
Female,56,179,117,36.5,Build Muscle,127,1,0,0,0,0
Other,52,198,84,21.4,Get Fit,84,1,0,1,0,0
Female,28,179,50,15.6,Get Fit,50,0,1,1,0,1
Male,58,169,114,39.9,Get Fit,114,0,1,0,0,0
Female,28,184,117,34.6,Lose Weight,105,1,0,0,1,0
Male,41,169,80,28.0,Lose Weight,74,1,0,1,0,1
Female,22,198,118,30.1,Lose Weight,113,0,1,0,1,1
Other,56,177,77,24.6,Get Fit,77,0,1,1,0,1
Other,59,173,106,35.4,Get Fit,106,1,1,0,0,0
Male,22,171,52,17.8,Get Fit,52,1,1,0,0,1
Male,58,153,79,33.7,Lose Weight,76,1,1,0,0,0
Female,60,181,77,23.5,Get Fit,77,0,0,0,0,1
Other,48,165,110,40.4,Build Muscle,115,1,0,0,0,0
Other,45,172,104,35.2,Build Muscle,113,1,0,0,1,1
Female,39,156,81,33.3,Lose Weight,75,0,1,0,1,1
Male,35,179,81,25.3,Lose Weight,71,1,0,1,0,1
Other,18,155,80,33.3,Lose Weight,71,0,1,0,1,0
Female,21,160,98,38.3,Lose Weight,89,0,0,1,1,0
Female,53,192,112,30.4,Lose Weight,106,1,1,0,0,0
Other,52,153,90,38.4,Lose Weight,87,1,1,0,1,0
Other,23,161,58,22.4,Get Fit,58,0,1,0,0,0
Female,25,186,81,23.4,Get Fit,81,1,1,0,0,1
Other,55,186,116,33.5,Build Muscle,122,0,0,1,0,0
Male,34,175,66,21.6,Get Fit,66,0,1,1,1,0
Male,18,179,62,19.4,Lose Weight,51,0,0,0,0,1
Female,26,172,58,19.6,Lose Weight,50,0,1,0,1,0
Other,37,189,117,32.8,Lose Weight,104,1,0,1,1,0
Female,25,156,120,49.3,Lose Weight,113,0,1,0,0,1
Other,39,163,83,31.2,Get Fit,83,1,0,1,0,0
Male,58,177,85,27.1,Lose Weight,82,0,1,1,0,0
Male,46,185,104,30.4,Get Fit,104,1,0,0,0,0
Male,27,184,54,15.9,Build Muscle,64,0,0,0,1,0
Male,20,169,96,33.6,Lose Weight,88,0,1,0,0,0
Other,24,172,102,34.5,Get Fit,102,1,1,0,0,1
Male,44,151,72,31.6,Get Fit,72,0,1,0,1,0
Female,28,200,63,15.8,Build Muscle,65,0,1,0,0,1
Female,40,169,79,27.7,Lose Weight,76,0,1,0,1,1
Female,22,199,85,21.5,Build Muscle,95,0,0,1,0,1
Male,25,166,72,26.1,Get Fit,72,1,0,0,0,1
Other,45,172,90,30.4,Build Muscle,100,0,0,0,1,0
Other,30,166,55,20.0,Get Fit,55,1,1,0,0,0
Female,45,154,92,38.8,Get Fit,92,1,0,1,0,0
Other,37,192,102,27.7,Build Muscle,110,1,1,1,0,0
Female,60,174,72,23.8,Get Fit,72,0,0,1,1,1
Male,37,168,76,26.9,Build Muscle,83,0,0,0,1,1
Other,31,182,110,33.2,Get Fit,110,1,0,0,0,0
Female,50,192,92,25.0,Lose Weight,77,0,0,1,0,0
Male,30,159,53,21.0,Lose Weight,47,1,0,0,0,1
Female,44,190,74,20.5,Get Fit,74,0,1,0,1,1
Male,27,191,50,13.7,Lose Weight,35,0,1,0,0,1
Other,51,179,56,17.5,Get Fit,56,1,0,0,0,0
Female,26,179,117,36.5,Get Fit,117,0,0,1,1,1
Other,50,177,120,38.3,Build Muscle,124,0,1,0,1,1
Male,58,167,116,41.6,Build Muscle,121,1,0,0,1,0
Other,36,165,84,30.9,Build Muscle,91,1,1,0,0,1
Male,42,194,69,18.3,Get Fit,69,1,0,0,0,0
Female,44,171,119,40.7,Build Muscle,127,0,1,0,0,0
Female,42,199,52,13.1,Get Fit,52,1,0,0,1,0
Female,37,198,99,25.3,Build Muscle,109,0,1,0,1,1
Male,35,177,112,35.7,Lose Weight,103,0,1,0,1,0
Female,26,189,118,33.0,Lose Weight,109,1,0,0,1,1
Other,45,158,109,43.7,Lose Weight,106,0,0,1,1,0
Male,47,170,93,32.2,Build Muscle,99,1,0,1,0,0
Female,19,197,119,30.7,Lose Weight,111,1,0,0,0,0
Other,20,198,53,13.5,Lose Weight,47,0,0,0,0,1
Male,33,158,110,44.1,Get Fit,110,0,0,0,0,1
Male,47,194,82,21.8,Build Muscle,86,1,0,0,1,1
Female,24,187,53,15.2,Build Muscle,61,1,1,0,0,0
Other,58,165,63,23.1,Get Fit,63,1,0,0,0,1
Other,20,172,118,39.9,Build Muscle,125,0,0,0,0,1
Other,39,150,103,45.8,Build Muscle,106,0,0,1,1,0
Other,27,177,72,23.0,Get Fit,72,0,1,1,1,0
Female,55,167,91,32.6,Lose Weight,87,0,1,0,1,0
Female,54,189,98,27.4,Build Muscle,100,0,1,1,0,0
Female,31,172,83,28.1,Build Muscle,89,1,0,1,0,1
Male,23,165,102,37.5,Build Muscle,112,0,0,0,1,0
Other,49,178,52,16.4,Lose Weight,45,0,0,0,1,0
Other,33,169,97,34.0,Build Muscle,107,0,0,1,1,1
Other,39,172,108,36.5,Build Muscle,114,1,1,0,0,0
Other,30,170,65,22.5,Get Fit,65,1,1,0,0,1
Other,48,167,117,42.0,Get Fit,117,1,1,0,0,0
Female,32,173,72,24.1,Build Muscle,74,0,1,0,1,1
Male,21,185,87,25.4,Get Fit,87,0,0,0,1,0
Male,18,186,86,24.9,Build Muscle,95,0,1,1,0,0
Male,34,180,64,19.8,Lose Weight,55,1,0,0,0,1
Male,27,186,88,25.4,Lose Weight,82,0,0,0,0,1
Female,56,188,78,22.1,Get Fit,78,0,0,0,1,1
Female,55,177,89,28.4,Get Fit,89,1,0,0,1,1
Other,31,166,60,21.8,Lose Weight,54,0,0,0,0,1
Male,28,150,102,45.3,Build Muscle,111,1,1,0,0,0
Female,36,194,108,28.7,Lose Weight,95,0,0,1,0,0
Other,55,192,75,20.3,Build Muscle,78,0,1,0,1,1
Male,22,153,71,30.3,Build Muscle,77,1,0,0,1,0
